KEY;ENGLISH;CHINESE
1;Once again,;又一次
1;I wake up from the nightmare.;我从噩梦中醒来
1;My father's curse is repeating in my mind.;父亲的诅咒在我的脑海里重复
0;;CHINESE
5;I have to get up.;CHINESE
5;Today, I must get the money from my dad.;CHINESE
0;;CHINESE
8;I tell my father a lie, for the money.;CHINESE
9;He stares at me and blows out a stream of smoke. ;CHINESE
10;"He says, ""Get back and watch your damn TV, lier.""";CHINESE
15;Finally, he closes his eyes,;CHINESE
15;as if nothing has happened.;CHINESE
15;Then I find his money under the TV.;CHINESE
20;My mother left me when I was four.;CHINESE
20;She went with my sister.;CHINESE
20;This is the only picture of my sister. ;CHINESE
20;We were playing happily on the seashore.;CHINESE
20;But I don't remember why.;CHINESE
22;I decided to bring this picture with me.;CHINESE
25;Now, I am waitting for my fifteen's birthday.;CHINESE
25;I decided to go at fifteen.;CHINESE
25;It's too early before the fifteen ;CHINESE
25;and it's too late after the fifteen.;CHINESE
30;At the time before I went,;CHINESE
30;I think of a cat,;CHINESE
30;and it soon occupy my brain.;CHINESE
30;The cat is runing in a circle. ;CHINESE
30;Once and once again.;CHINESE
35;I start my travel.;CHINESE
35;I don't know what I will face.;CHINESE
35;But I know that after this travel.;CHINESE
35;I won't be the same person;CHINESE
99;That's my father's word.;CHINESE
99;That's my father's word.;CHINESE
99;That's my father's word.;CHINESE
99;That's my father's word.;CHINESE
99;That's my father's word.;CHINESE
99;That's my father's word.;CHINESE
99;That's my father's word.;CHINESE
99;That's my father's word.;CHINESE
99;That's my father's word.;CHINESE
99;That's my father's word.;CHINESE
99;That's my father's word.;CHINESE
99;That's my father's word.;CHINESE
99;That's my father's word.;CHINESE
99;That's my father's word.;CHINESE
99;That's my father's word.;CHINESE
99;That's my father's word.;CHINESE
99;That's my father's word.;CHINESE
GETITEM;[Mission]Get ;获得
WATCH;a watch;手表
MONEY;father's money;父亲的钱
PHOTO;photo;照片
WALKMAN;walkman;随声听
SHIRT;shirt;短袖衬衣
CELLPHONE;cellphone;手机
COAT;I don't need a coat.\r I'll go to the south.;
BACKPACK;I shouldn't take a backpack. I'm not go travelling.;
AIM;[Mission] Get 6 necessary items.;
