KEY;ENGLISH;CHINESE
1;There's endless fluterring catkin;在柳絮纷飞的那天
1;at the day I said goodbye to my hometown.;我离开了故乡
;;
2;Without a last glance ;我没有看它最后一眼
2;I believed that;那时的我相信
2;its scene will last for long;故乡的景色将始终依旧
2;as it had ever been;直到我渐渐老去
;;
;;
;;
;;
3;But, I'm wrong;但, 我错了
3;When I finally went back;当我最终回到那片土地
3;my hometown was not the one ;故乡
3;it had ever been.;却已不再是曾经的故乡
4;The carkin's gone.;纷飞的柳絮已经成为消失的过去
4;The people's come.;迎面而来的是喧嚣的人群
5;The tranquil's gone.;无从找到往日的那片宁静
5;The bustle's come.;楼宇间透出繁忙的气息
;;
;;
6;I get lost;我迷失了
7;lost in the roads I used to walk;迷失在我曾经了如指掌的街道
8;lost in the songs I used to talk;迷失在我曾经烂熟于心的歌曲
;;
15;And then, I decided to leave.;然后，我决定离开
16;I left my hometown;离开我的故乡
16;as if  ;就好像
16;I went back from;归来
16;an alien land;从漂泊的他乡
;;
;;
;;
25;Many years after,;多年以后
26;my kids asked me;我的孩子问起我
27;'where's your hometown, dad?';"你的故乡在哪"
;;
35;I answered;我答道
35;I have been to many places;爸爸我去过了很多很多的地方啊
35;But I have never been to;可就是从来没有去过
35;the place called howntown.';那个叫故乡的地方
